job_id,num_gpu,submit_time,iterations,model_name,duration,interval
334,1,20593,0,vgg11,11,0
335,1,20605,0,vgg11,12,0
336,1,20621,0,vgg11,5,0
337,1,20630,0,vgg11,3,0
338,1,20635,0,vgg11,7,0
339,1,20643,0,vgg11,7,0
340,1,20651,0,vgg11,3,0
341,1,20655,0,vgg11,4,0
342,1,20660,0,inception3,3,0
343,1,20664,0,resnet152,6,0
344,1,20672,0,resnet152,3,0
345,1,20676,0,resnet152,8,0
346,1,20685,0,resnet152,3,0
347,1,20689,0,resnet101,4,0
348,1,20694,0,resnet101,3,0
349,1,20698,0,resnet101,3,0
350,1,20703,0,resnet101,13,0
351,1,20717,0,resnet101,5,0
352,1,20723,0,resnet101,3,0
353,1,20728,0,resnet101,3,0
354,1,20732,0,resnet101,3,0
355,1,20736,0,resnet101,7,0
356,1,20745,0,resnet101,4,0
357,1,20750,0,resnet101,3,0
358,1,20754,0,resnet101,3,0
359,1,20759,0,resnet101,3,0
360,1,20763,0,resnet101,3,0
361,1,20767,0,resnet101,4,0
362,1,20772,0,resnet101,9,0
363,1,20782,0,resnet101,3,0
364,1,20787,0,resnet101,3,0
365,1,20791,0,resnet101,3,0
366,1,20795,0,resnet101,20,0
367,1,20816,0,resnet101,3,0
368,1,20821,0,resnet101,5,0
369,1,20828,0,resnet101,3,0
370,1,20832,0,resnet101,5,0
371,1,20838,0,resnet101,4,0
372,1,20843,0,resnet101,3,0
373,1,20847,0,resnet101,3,0
374,1,20852,0,resnet101,3,0
375,1,20856,0,resnet101,3,0
376,1,20861,0,resnet101,3,0
377,1,20866,0,resnet101,4,0
378,1,20871,0,alexnet,6,0
379,1,20880,0,alexnet,6,0
380,1,20887,0,alexnet,3,0
381,1,20891,0,alexnet,4,0
382,1,20900,0,alexnet,4,0
383,1,20905,0,alexnet,10,0
384,1,20917,0,alexnet,8,0
385,1,20931,0,alexnet,4,0
386,1,20936,0,alexnet,3,0
387,1,20942,0,alexnet,11,0
388,1,20954,0,alexnet,4,0
389,1,20959,0,alexnet,9,0
390,1,20970,0,alexnet,13,0
391,1,20984,0,alexnet,4,0
392,1,20989,0,alexnet,4,0
393,1,20995,0,alexnet,3,0
394,1,20999,0,alexnet,3,0
395,1,21003,0,alexnet,7,0
396,1,21012,0,alexnet,3,0
397,1,21017,0,alexnet,4,0
398,1,21022,0,alexnet,10,0
399,1,21033,0,alexnet,9,0
400,1,21043,0,alexnet,3,0
401,1,21048,0,alexnet,4,0
402,1,21053,0,alexnet,4,0
403,1,21059,0,alexnet,9,0
404,1,21070,0,alexnet,4,0
405,1,21075,0,alexnet,8,0
406,1,21085,0,alexnet,4,0
407,1,21090,0,alexnet,12,0
408,1,21103,0,alexnet,3,0
409,1,21107,0,alexnet,4,0
410,1,21112,0,alexnet,3,0
411,1,21117,0,vgg16,3,0
412,1,21121,0,vgg16,3,0
413,1,21125,0,vgg16,4,0
414,1,21130,0,vgg16,3,0
415,1,21135,0,vgg16,3,0
416,1,21140,0,vgg16,3,0
417,1,21145,0,resnet152,4,0
418,1,21150,0,resnet152,8,0
419,1,21159,0,resnet152,9,0
420,1,21169,0,resnet152,16,0
421,1,21187,0,resnet152,8,0
422,1,21196,0,vgg19,3,0
423,1,21201,0,vgg19,3,0
424,1,21206,0,vgg19,8,0
425,1,21215,0,vgg19,9,0
426,1,21225,0,vgg19,5,0
427,1,21231,0,vgg19,4,0
428,1,21236,0,vgg19,3,0
429,1,21240,0,vgg19,3,0
430,1,21246,0,vgg19,3,0
431,1,21251,0,vgg19,3,0
432,1,21255,0,vgg19,9,0
433,1,21265,0,vgg19,8,0
434,1,21274,0,vgg19,8,0
435,1,21283,0,vgg19,7,0
436,1,21293,0,vgg19,4,0
437,1,21299,0,vgg16,3,0
438,1,21304,0,resnet101,7,0
439,1,21312,0,resnet152,4,0
440,1,21317,0,inception3,5,0
441,1,21327,0,vgg16,3,0
442,1,21331,0,resnet101,4,0
443,1,21336,0,vgg11,9,0
444,1,21346,0,vgg11,9,0
445,1,21362,0,vgg11,6,0
446,1,21371,0,vgg11,4,0
447,1,21376,0,vgg11,3,0
448,1,21380,0,vgg11,11,0
449,1,21393,0,vgg11,6,0
450,1,21403,0,vgg11,7,0
451,1,21413,0,vgg11,3,0
452,1,21418,0,resnet152,4,0
453,1,21423,0,vgg16,3,0
454,1,21429,0,vgg16,3,0
455,1,21435,0,vgg16,3,0
456,1,21439,0,vgg16,3,0
457,1,21443,0,vgg11,4,0
458,1,21450,0,vgg11,6,0
459,1,21457,0,vgg11,3,0
460,1,21463,0,vgg11,7,0
461,1,21471,0,vgg11,5,0
