job_id,num_gpu,submit_time,iterations,model_name,duration,interval
349,8,39542,0,resnet152,2,0
350,8,39546,0,vgg19,2,0
351,8,39551,0,vgg19,2,0
352,8,39553,0,vgg19,2,0
353,8,39558,0,vgg19,2,0
354,8,39561,0,vgg19,2,0
355,8,39564,0,vgg19,2,0
356,8,39567,0,vgg19,2,0
357,8,39572,0,vgg19,2,0
358,8,39604,0,vgg19,2,0
359,8,39612,0,vgg19,2,0
360,8,39617,0,resnet50,2,0
361,8,39621,0,resnet50,2,0
362,8,39626,0,resnet50,2,0
363,8,39635,0,resnet50,2,0
364,8,39637,0,resnet50,2,0
365,8,39645,0,resnet50,2,0
366,8,39649,0,resnet50,2,0
367,8,39653,0,resnet50,2,0
368,8,39655,0,resnet50,2,0
369,8,39658,0,resnet50,2,0
370,8,39660,0,resnet50,2,0
371,8,39667,0,resnet50,2,0
372,8,39669,0,resnet50,2,0
373,8,39673,0,resnet50,3,0
374,8,39676,0,resnet50,3,0
375,8,39683,0,resnet50,3,0
376,8,39687,0,resnet50,2,0
377,8,39689,0,resnet50,2,0
378,8,39694,0,resnet50,2,0
379,8,39696,0,resnet50,3,0
380,8,39706,0,resnet50,4,0
381,8,39710,0,resnet50,4,0
382,8,39760,0,resnet50,2,0
383,8,39762,0,resnet50,2,0
384,8,39773,0,alexnet,2,0
385,8,39776,0,alexnet,2,0
386,8,39778,0,alexnet,2,0
387,8,39780,0,alexnet,2,0
388,8,39783,0,alexnet,2,0
389,8,39788,0,alexnet,2,0
390,8,39975,0,alexnet,2,0
391,8,39979,0,alexnet,2,0
392,8,39984,0,alexnet,2,0
393,8,39994,0,alexnet,2,0
394,8,39997,0,alexnet,2,0
395,8,39999,0,alexnet,2,0
396,8,40001,0,alexnet,2,0
397,8,40004,0,alexnet,2,0
398,8,40006,0,alexnet,2,0
399,8,40008,0,alexnet,2,0
400,8,40047,0,alexnet,2,0
401,8,40049,0,alexnet,2,0
402,8,40054,0,alexnet,2,0
403,8,40061,0,alexnet,2,0
404,8,40063,0,alexnet,2,0
405,8,40069,0,alexnet,2,0
406,8,40073,0,inception4,2,0
407,8,40075,0,inception4,2,0
408,8,40081,0,inception4,2,0
409,8,40083,0,inception4,2,0
410,8,40092,0,inception4,2,0
411,8,40603,0,inception4,3,0
412,8,40606,0,inception4,3,0
413,8,40611,0,vgg11,3,0
414,8,40614,0,vgg11,2,0
415,8,40669,0,vgg11,2,0
416,8,40676,0,vgg11,2,0
417,8,40788,0,vgg11,2,0
418,8,40796,0,vgg11,4,0
419,8,40809,0,vgg11,2,0
420,8,40812,0,vgg11,2,0
421,8,42112,0,vgg11,2,0
422,8,42206,0,vgg11,2,0
423,1,20439,0,vgg16,2,0
424,1,20442,0,resnet50,3,0
425,1,20446,0,resnet50,2,0
426,1,20451,0,resnet50,2,0
427,1,20453,0,resnet50,2,0
428,1,20455,0,resnet50,2,0
429,1,20459,0,resnet50,3,0
430,1,20463,0,resnet50,3,0
431,1,20470,0,resnet50,2,0
432,1,20472,0,resnet50,2,0
433,1,20477,0,resnet50,2,0
434,1,20487,0,vgg19,2,0
435,1,20491,0,vgg19,2,0
436,1,20496,0,vgg19,2,0
437,1,20500,0,resnet50,2,0
438,1,20504,0,vgg11,3,0
439,1,20511,0,vgg11,2,0
440,1,20516,0,vgg11,3,0
441,1,20519,0,vgg11,2,0
442,1,20521,0,vgg11,2,0
443,1,20525,0,vgg11,2,0
444,1,20529,0,vgg11,3,0
445,1,20535,0,vgg11,3,0
446,1,20540,0,inception3,2,0
447,1,20544,0,inception3,3,0
448,1,20548,0,inception3,3,0
449,1,20552,0,inception3,2,0
450,1,20556,0,inception3,2,0
451,1,20561,0,inception3,2,0
452,1,20565,0,inception4,3,0
453,1,20570,0,vgg19,2,0
454,1,20573,0,vgg19,2,0
455,1,20577,0,vgg19,2,0
456,1,20580,0,vgg19,4,0
457,1,20586,0,vgg19,2,0
458,1,20590,0,vgg19,2,0
459,1,20593,0,vgg19,2,0
460,1,20595,0,vgg19,2,0
461,1,20597,0,vgg19,2,0
462,1,20599,0,vgg19,2,0
463,1,20603,0,vgg19,3,0
464,1,20607,0,vgg19,2,0
465,1,20611,0,vgg19,2,0
466,1,20615,0,vgg19,3,0
467,1,20618,0,vgg19,2,0
468,1,20624,0,vgg19,2,0
469,1,20629,0,vgg19,2,0
470,1,20633,0,vgg19,2,0
471,1,20635,0,vgg19,2,0
472,1,20637,0,vgg19,3,0
473,1,20642,0,vgg19,2,0
474,1,20645,0,vgg19,4,0
475,1,20650,0,vgg19,3,0
476,1,20654,0,vgg19,2,0
477,1,20662,0,resnet152,2,0
478,1,20664,0,resnet152,2,0
479,1,20668,0,resnet152,2,0
480,1,20671,0,resnet152,2,0
481,1,20673,0,resnet152,2,0
482,1,20677,0,resnet152,2,0
483,1,20680,0,resnet152,4,0
484,1,20686,0,resnet152,2,0
485,1,20689,0,resnet152,2,0
486,1,20694,0,resnet152,2,0
487,1,20696,0,resnet152,2,0
488,1,20698,0,vgg19,2,0
489,1,20704,0,vgg19,2,0
490,1,20708,0,vgg19,3,0
491,1,20713,0,vgg19,2,0
492,1,20717,0,vgg19,2,0
493,1,20721,0,vgg19,3,0
494,1,20728,0,vgg19,2,0
495,1,20730,0,vgg19,3,0
496,1,20735,0,vgg19,2,0
497,1,20739,0,inception4,3,0
498,1,20744,0,inception4,2,0
499,1,20748,0,resnet101,2,0
500,1,20752,0,resnet101,4,0
501,1,20757,0,resnet101,3,0
502,1,20761,0,resnet101,3,0
503,1,20766,0,resnet101,2,0
